Date,Units,NAV,Amount
25-03-2022,74.701,66.93,5000.00
07-04-2022,71.856,69.58,5000.00
17-05-2022,78.798,63.45,5000.00
16-06-2022,81.642,61.24,5000.00
15-07-2022,78.182,63.95,5000.00
17-08-2022,71.846,69.59,5000.00
16-09-2022,13.915,71.86,1000.00
03-11-2022,70.005,71.42,5000.00
13-12-2022,13.707,72.95,1000.00
05-01-2023,69.868,71.56,5000.00
06-02-2023,69.907,71.52,5000.00
08-03-2023,70.429,70.99,5000.00
06-04-2023,71.282,70.14,5000.00
08-05-2023,67.747,73.80,5000.00
06-06-2023,63.57,78.65,5000.00
06-07-2023,60.95,82.03,5000.00
07-08-2023,59.464,84.08,5000.00
06-09-2023,56.642,88.27,5000.00
09-10-2023,57.153,87.48,5000.00
07-11-2023,55.534,90.03,5000.00
06-12-2023,52.507,95.22,5000.00
08-01-2024,51.316,97.43,5000.00
07-02-2024,87.972,102.30,9000.00

